Modismo;Definición Sonar;Definiciones Reales;Acorde;;
culera;Término vulgar usado en Colombia para insultar a alguien como cobarde, despreciable o de mala conducta, con fuerte carga despectiva.;matadura de las bestias en las ancas | miedo de los gallos durante la pelea;0;;
lloviznarse;Mojarse levemente por una lluvia fina o persistente.;Mojarse con la lluvia. | mojarse por efecto de la llovizna;1;;
toalla;En el habla coloquial colombiana, 'toalla' se usa como abreviatura de la expresión 'tirar la toalla', indicando la acción de rendirse o abandonar un esfuerzo ante la dificultad.;Compresa desechable de fibras de celulosa o materiales similares que sirve para absorber el flujo menstrual.;0;;
sobernal;Persona sumamente cansada o agotada por el esfuerzo excesivo.;sobornal, lo que se añade a una carga regular;0;;
cositero;Persona que presta atención excesiva a detalles menores y pone objeciones o reparos constantes, mostrando fastidio o puntillosidad.;dicho de una persona, que da exagerada importancia a cosas menudas | hábil para hacer cosas con cuidado y esmero | que trabaja en muchas cosas, ordinariamente de poca importancia;1;;
fular;En la jerga colombiana, fular alude coloquialmente al dinero en efectivo o a una suma de dinero.;Cargador para bebés que consiste en una tela, generalmente elástica, que permite sostener al niño envolviéndolo sobre el cuerpo de quien lo carga.;0;;
minisigüí;Porción pequeña de repostería dulce, similar a un mini suspiro, popular en tiendas escolares colombianas.;Golosina hecha a base de polvo de azúcar mezclada con anilina vegetal de colores y ácido tartárico o polvo de gelatina.;1;;
obra gris;Etapa intermedia de construcción en la que la estructura básica está terminada, con paredes pañetadas, instalaciones iniciales de servicios y puertas instaladas, pero sin acabados finales.;fase del proceso de construcción posterior a la obra negra, en la cual las paredes ya están pañetadas e instaladas otras partes de la vivienda, como puertas y closets;1;;
bamba;Lazo circular y cerrado forrado en tela para sujetar el pelo en una cola.;Cadena o pulsera de oro de gran tamaño y alto costo comercial. | Caucho recubierto de tela que se usa para sujetar el pelo en una cola.;1;;
chaza;Deporte tradicional colombiano, especialmente en Nariño, donde dos equipos se lanzan una pelota con la mano en una cancha dividida, buscando que rebote dos veces en el campo contrario.;Venta ambulante e informal de diversos productos alimenticios y de consumo. | Juego similar al tenis pero que se practica golpeando la pelota con la mano o con una raqueta forrada en cuero de chivo.;1;;
bulloso;Persona escandalosa que genera ruido y desorden.;Referido a una persona o a un lugar, ruidosos, escandalosos.;1;;
facho;Persona de ideología política reaccionaria o fascista.;Partidario del fascismo.;1;;
pistola;Gesto ofensivo consistente en mostrar el dedo medio extendido con los demás dedos recogidos como muestra de desprecio.;Gesto en el que el dedo medio se extiende mientras los otros se recogen, usado con intención de burla u ofensa.;1;;
ladrón;Persona que sustrae bienes ajenos de forma ilícita o aprovecha confianza ajena para apropiarse de lo que no le corresponde.;especie de sifón para sacar gasolina del tanque de los vehículos automotores | Persona que se aprovecha de su cargo, generalmente político o administrativo, para llevar a cabo actividades económicas ilícitas. | especie de cono metálico para sacar cereales de los sacos que lo contienen, sin necesidad de abrirlos;1;;
encanado;Persona que se encuentra privada de la libertad en prisión o cárcel.;Referido a una persona, detenido en prisión. | Estadía de una persona en prisión.;1;;
carcacha;Vehículo envejecido y en mal estado.;Automóvil viejo, deteriorado y que funciona mal.;1;;
miguelito;Persona ignorante e ingenua.;Dulce elaborado con leche cortada y panela.;0;;
mariposear;Coquetear o andar de acá para allá mostrando interés pasajero en varias personas, sin intención de compromiso.;Deambular de un lado a otro.;1;;
pandero;Panecillo con forma de rosca, hecho de harina de yuca, mantequilla, azúcar y huevos.;especie de galleta de almidón, mantequilla, azúcar, huevos y a veces panela | Panecillo con forma de rosca, hecho de harina de yuca, mantequilla, azúcar y huevos.;1;;
atotumarse;Atolondrarse o aturdirse momentáneamente.;atolondrarse, aturdirse momentáneamente;1;;
habilitar;Permitir o dejar en funcionamiento algo, otorgando la capacidad o autorización necesaria para su uso.;En el fútbol, quedar un atacante en posición lícita y adelante de la defensa contraria, con gran posibilidad de hacer gol.;0;;
oso;Vergüenza o bochorno público causado por una acción torpe o embarazosa que provoca burla o rechazo.;Variedad de oso hormiguero, de hasta 1,20 m de longitud, con hocico extremadamente largo y agudo, cuerpo alargado con pelaje café claro o gris y costados negros y en el lomo una crin que se une con la cola. | Se usa para expresar sentimientos de vergüenza o ridículo. | Mamífero omnívoro que alcanza los 1,90 m y los 125 kilos, de pelaje oscuro y áspero, hocico y manchas blanquecinas alrededor de los ojos, la nariz y en el pecho. | Quedar en ridículo o pasar vergüenza por algo dicho o hecho. | Variedad de oso hormiguero, de hasta 88 cm de longitud sin la cola, cabeza cónica y hocico alargado y agudo, cuerpo alargado y poco flexible con pelaje largo de color café claro y negro, cola y extremidades largas y fuertes adaptadas a sus costumbres arborícolas.;1;;
palomito;Persona joven o niño.;Fríjol blanco.;0;;
formaleta;Estructura o molde, generalmente de madera o metal, que se emplea para contener y dar forma al hormigón u otros materiales de construcción durante su fraguado.;Estructura de madera o acero que funciona como molde para construir muros de tierra pisada o columnas de concreto. | molde de madera o acero para construir muros de tierra pisada o estructuras de concreto;1;;
alón;"Persona alta o de gran estatura; también usado para describir algo grande o prominente en tamaño.";Referido a un sombrero o a prendas similares, de ala ancha.;0;;
serenar;Caída de rocío o llovizna nocturna en Colombia.;exponerse al sereno | Lloviznar. | Exponerse al ambiente nocturno, húmedo y frío. | lloviznar;1;;
enquimbarse;Adquirir deudas o comprometerse económicamente hasta quedar en apuros financieros.;endeudarse;1;;
cerco;Acción de rodear o sitiar un lugar para capturar a una persona, generalmente un delincuente.;vara de madera que se usa en carpintería y construcción de casas;0;;
cuadra;Bloque urbano comprendido entre dos esquinas consecutivas de una calle.;Distancia que hay entre dos esquinas de una manzana.;1;;
arrempujar;Empujar con fuerza o apurarse en la acción de impulsar algo.;Empujar.;1;;
cachapla;Arepa de maíz seco molido sin ningún aliño, término de lengua chibcha.;arepa de maíz tierno adobada con queso y panela para acompañar el chocolate;1;;
tuco;En el Chocó, masa de plátano macerado con sal.;Nombre de varios tipos de escarabajo volador, de diferentes características según la especie, pero siempre de cuerpo oblongo de hasta 3 cm de longitud, color café claro y con un par de manchas luminiscentes en el tórax o el abdomen.;0;;
caña;Bebida alcohólica fuerte y barata, tradicionalmente destilada de la caña de azúcar y consumida en contextos festivos.;mentira | Ritmo musical del Tolima que se acompaña de coplas relacionadas con el trabajo en la molienda. | Baile típico de la zona tolimense que se practica en parejas, cuyos movimientos semejan aquellos del trabajo en el trapiche y la molienda. | Mentira o embuste.;0;;
radiodifusora;Emisora o medio que transmite programación de radio para la comunidad, organizada para difundir contenido auditivo a un público amplio.;Emisora que transmite contenidos de radio.;1;;
chúpame las cáscaras;Expresión vulgar de rechazo o incredulidad ante una propuesta o afirmación absurda.;dicho de una persona, entrometido, adulador, chismoso;0;;
encanar;Encarcelar o llevar a alguien preso.;encarcelar | Meter a la cárcel a alguien.;1;;
venteado;Abundante o presuroso, especialmente referido a personas, vehículos o cantidades en el habla popular colombiana.;Referido a una persona, de comportamiento incoherente o alocado.;0;;
quimbas;Calzado campesino colombiano de cuero o fibras vegetales, similar a alpargatas o sandalias, usado especialmente en regiones como Tolima.;Sandalia rústica hecha de fique o cuero. | Pierna o pie;1;;
chusco;Persona atractiva y bien presentada, usada especialmente en regiones como Antioquia para elogiar el aspecto y el porte.;Planta gramínea, de tallos duros, hojas lanceoladas, flores pequeñas y espigas amarillas, propia de climas fríos y usada en construcción y elaboración de objetos domésticos. | Referido a una persona, bien parecida, atractiva físicamente. | dicho de una persona o cosa, bonita, agradable, atractiva;1;;
soda;Bebida refrescante a base de agua carbonatada, frecuentemente con limón.;Estupendo, magnífico.;0;;
zurullo;Pedazo o porción compacta y rolliza de materia blanda, usado coloquialmente para referirse a un excremento sólido.;enredo o maraña que resulta de trabarse entre sí desordenadamente los hilos u otras cosas flexibles;0;;
despepado;Persona o cosa desordenada, desaliñada o fuera de control, que muestra falta de compostura o arreglo.;dicho de una persona, que sale rápidamente;0;;
tomador;Persona que habitualmente consume bebidas alcohólicas o que tiende a beber en exceso.;Referido a una persona, que ingiere bebidas alcohólicas sin mesura.;1;;
botaratas;Persona derrochadora que gasta el dinero sin medida.;Referido a una persona, que gasta mucho dinero, generoso.;1;;
calostre;Primera leche que produce una hembra mamífera inmediatamente después del parto, rica en nutrientes y anticuerpos para el recién nacido.;calostro, primera leche que da la hembra después de parida;1;;
pollo;Persona con atractivo físico muy llamativo que capta la atención al llegar a un lugar.;Hombre joven pretendido por una mujer mayor. | Novio o amante generalmente joven.;0;;
desamerar;Deshojar la mazorca del maíz.;deshojar la mazorca del maíz | Quitar la hoja que cubre la mazorca.;1;;
guiso;Persona de estratos bajos que intenta ocultar su origen socioeconómico aparentando una posición superior.;Plato preparado con arroz, carne de res, zanahoria, habichuela, ahuyama y papa. | Plato elaborado con pata de res, papa criolla, arvejas, zanahoria y algunas hierbas.;0;;
cachorro;Persona de mal genio, irritable o pendenciera que se muestra hosca o arrogante en determinadas situaciones.;enojado | pendenciero, peleador;1;;
arborizar;Poblar de árboles un terreno o plantarlos para sombra o adorno.;Poblar un terreno de árboles para reforestarlo.;1;;
entretención;Actividad o espacio destinado al disfrute y la diversión colectiva, especialmente en fiestas, eventos o reuniones sociales.;Dicho de algo que sirve para el entretenimiento. | Diversión o entretenimiento.;1;;
arepa;Pan circular y aplanado de masa de maíz cocido, originario de Colombia y Venezuela, preparado asado, horneado o frito.;La horneada de maíz, con coco, dulce, queso y anís. | La de maíz trillado, remojado y triturado en molino, que se arma muy delgada y se asa sobre hojas de plátano. | La que se prepara con maíz tierno y se asa en una parrilla envuelta en hojas de plátano. | La que lleva un huevo en su interior y se frita. | Por casualidad o buena suerte. | especie de torta de maíz de forma circular | La de maíz pelado con ceniza y amasada sin sal, y cocinada en una plancha de hierro o una parrilla.;1;;
